,title,year,counts,longitude,latitude,distance,dist_arange,year_arange
4406,컨토이너,201603,1,126.92124989972427,37.548328599917674,0.48924449794435326,500m,2016
4407,컨토이너,201604,1,126.92124989972427,37.548328599917674,0.48924449794435326,500m,2016
4408,컨토이너,201702,1,126.92124989972427,37.548328599917674,0.48924449794435326,500m,2017
4409,컴,201603,1,126.92735829999998,37.554286100000006,0.3659524214530709,500m,2016
4410,케이트,201302,1,126.92292880399175,37.54595042151517,0.651437384821799,1000m,2013
4411,케이트앤케이크,201703,1,126.91788600000001,37.55477020000001,0.7191339678124556,1000m,2017
4412,케이트앤케이크,201801,1,126.91788600000001,37.55477020000001,0.7191339678124556,1000m,2018
4413,코끼리탈출하다,201302,1,126.92541399972427,37.55742549991764,0.6489369372597605,1000m,2013
4414,코끼리탈출하다,201404,1,126.92541399972427,37.55742549991764,0.6489369372597605,1000m,2014
4415,코나빈스 홍대점,201401,1,126.92275441809704,37.555722562652406,0.49900962988464087,500m,2014
4416,코나빈스 홍대점,201404,1,126.92275441809704,37.555722562652406,0.49900962988464087,500m,2014
4417,코나빈스 홍대점,201504,1,126.92275441809704,37.555722562652406,0.49900962988464087,500m,2015
4418,코나빈스홍대점,201203,1,126.92143325594,37.55556888229162,0.5413991152091596,1000m,2012
4419,코나빈스홍대점,201204,1,126.92143325594,37.55556888229162,0.5413991152091596,1000m,2012
4420,코나빈스홍대점,201302,2,126.92143325594,37.55556888229162,0.5413991152091596,1000m,2013
4421,코나빈스홍대점,201303,1,126.92143325594,37.55556888229162,0.5413991152091596,1000m,2013
4422,코나빈스홍대점,201304,2,126.92143325594,37.55556888229162,0.5413991152091596,1000m,2013
4423,코난,201301,1,126.92196415198616,37.54833840602952,0.4483233933561567,500m,2013
4424,코난,201302,1,126.92196415198616,37.54833840602952,0.4483233933561567,500m,2013
4425,코난,201303,1,126.92196415198616,37.54833840602952,0.4483233933561567,500m,2013
4426,코난,201401,1,126.92196415198616,37.54833840602952,0.4483233933561567,500m,2014
4427,코난,201502,2,126.92196415198616,37.54833840602952,0.4483233933561567,500m,2015
4428,코니쉬크림,201402,1,126.92777809972428,37.555732699917655,0.52231655914418,1000m,2014
4429,코니쉬크림,201404,2,126.92777809972428,37.555732699917655,0.52231655914418,1000m,2014
4430,코드이스케이프 홍대,201504,2,126.9264593997243,37.55615789991766,0.5237599910182358,1000m,2015
4431,코드이스케이프 홍대,201601,2,126.9264593997243,37.55615789991766,0.5237599910182358,1000m,2016
4432,코드이스케이프 홍대,201602,2,126.9264593997243,37.55615789991766,0.5237599910182358,1000m,2016
4433,코드이스케이프 홍대,201703,1,126.9264593997243,37.55615789991766,0.5237599910182358,1000m,2017
4434,코드이스케이프 홍대,201802,1,126.9264593997243,37.55615789991766,0.5237599910182358,1000m,2018
4435,코마이스케이프 홍대점,201702,2,126.92082959999999,37.5501139,0.40131228821189385,500m,2017
